Time,Volts
2021-01-30 19:03:09.392630,59.32
2021-01-30 19:03:09.952036,59.32
2021-01-30 19:03:10.952499,59.32
2021-01-30 19:03:11.953955,59.32
2021-01-30 19:03:12.954262,59.37
2021-01-30 19:03:13.956093,59.37
2021-01-30 19:03:14.956849,59.32
2021-01-30 19:03:15.957960,59.25
2021-01-30 19:03:16.958850,59.25
2021-01-30 19:03:17.960084,59.32
2021-01-30 19:03:18.961287,59.32
2021-01-30 19:03:19.961043,59.32
2021-01-30 19:03:20.962789,59.32
2021-01-30 19:03:21.963658,59.37
2021-01-30 19:03:22.964769,59.37
2021-01-30 19:03:23.965262,59.32
2021-01-30 19:03:24.966870,59.32
2021-01-30 19:03:25.968304,59.37
2021-01-30 19:03:26.968552,59.32
2021-01-30 19:03:27.969469,59.37
2021-01-30 19:03:28.970885,59.25
2021-01-30 19:03:29.971461,59.32
2021-01-30 19:03:30.972206,59.37
2021-01-30 19:03:31.973154,59.25
2021-01-30 19:03:32.974433,59.32
2021-01-30 19:03:33.975387,59.32
2021-01-30 19:03:34.976402,59.25
2021-01-30 19:03:35.977137,59.32
2021-01-30 19:03:36.978217,59.37
2021-01-30 19:03:37.978912,59.37
